"","spcode","treatment","nfixer","pred_rgr","pred_d13c","pred_d15n","pred_total_biomass_2","pred_above_biomass_2","pred_below_biomass_exp","pred_amax_exp","pred_wue_exp","pred_pnue_exp"
"51","sm","plus_water_nutrients","nonfixer",0.00285054453758219,-30.5198056815067,0.38615792527809,10.1192128963933,6.34158009444411,3.87718023772946,5.67582039860096,1.31367918339239,64.938404765374
"52","sm","plus_water_nutrients","nonfixer",0.00411661050743002,-30.6260437700682,0.113770504303461,9.40745272485001,5.90974675718248,3.65931049916232,5.91792038072497,1.32741994927287,66.9355385406159
"53","sm","plus_water_nutrients","nonfixer",0.00245375220848485,-30.4865100558418,0.471525703703041,10.3476240657408,6.48005285528112,3.94809611734431,5.60200273111815,1.30940209278665,64.3248404491543
"54","sm","plus_water_nutrients","nonfixer",0.00359980506712691,-30.5826776079222,0.224958471109599,9.694856980142,6.08418112500844,3.74672533549277,5.81787271208929,1.32179372251706,66.1129991927008
"55","sm","plus_water","nonfixer",0.0023123307453165,-30.6037099471683,3.35195175693334,7.73469968290747,4.88122611797111,2.79899799074155,6.33565328331211,1.3722875569429,82.5028902357808
"56","sm","plus_water","nonfixer",0.00142693368755627,-30.5294145366016,3.54244026767881,8.18415462062315,5.15457005953275,2.91452276302538,6.15325959564876,1.36233790630369,80.7735896187682
"57","sm","plus_water","nonfixer",0.00170339621146341,-30.5526130513696,3.48296081267675,8.0424508414521,5.06841969456833,2.87794755994751,6.20964044170372,1.36543688373356,81.3096303289864
"58","sm","plus_water","nonfixer",0.000573205055863496,-30.4577764860251,3.72611548345524,8.62955333366731,5.42518885113757,3.0304286656007,5.98236386915669,1.35281245042624,79.140475831514
"59","sm","plus_nutrients","nonfixer",0.00671936437677456,-30.5168234732003,0.239176415653536,7.6655024260162,4.72036387608242,3.05691786777108,6.74546098647003,2.66331099900915,68.4085036971852
"60","sm","plus_nutrients","nonfixer",0.00324382661593555,-30.2251842559492,0.986920048071568,9.49487119493011,5.81851769311097,3.58288520793885,6.01469155348479,2.58831125456173,62.95022337228
"61","sm","plus_nutrients","nonfixer",0.00309429731736838,-30.2126369580658,1.01909048860695,9.57796494714822,5.86833840208031,3.60744166303796,5.98509256827663,2.58513233323842,62.7254204333803
"62","pq","no_additions","nonfixer",0.00617771407297836,-29.390726018277,2.51692829771974,4.0705431302753,1.84864723593566,2.15405597768483,6.39049578310597,3.06697730450067,64.6235805984639
"63","pq","no_additions","nonfixer",0.00569724535901066,-29.350408942389,2.62029860935712,4.24685023092079,1.93978517564206,2.20185501054335,6.28999485994453,3.05489019948535,63.8849668641166
"64","pq","no_additions","nonfixer",0.00671483239776733,-29.4357966745586,2.40137012086971,3.87787324650566,1.74935955803444,2.10184852659795,6.50474839796973,3.08054616194,65.459394299877
"65","pq","no_additions","nonfixer",0.00593115483672801,-29.3700367472593,2.56997421797915,4.1605506981581,1.8951420318577,2.17845366468203,6.33872334502251,3.06076867561009,64.243490106008
"66","pq","plus_water_nutrients","nonfixer",0.00755351673358672,-29.4149337176598,-0.735626669768907,6.03655809288431,2.8764631552572,3.02777909089785,6.43646251788503,1.53401722265747,57.0079725420661
"67","pq","plus_water_nutrients","nonfixer",0.0065898976031177,-29.3340745389437,-0.528309092327173,6.47011540751216,3.10613406487433,3.16403188607329,6.23505510911839,1.52191623391819,55.7087026329982
"68","pq","plus_water_nutrients","nonfixer",0.00598096306926461,-29.282977643145,-0.397300036583761,6.75184295331242,3.25581670862883,3.25327773590444,6.11104311276209,1.51431859104967,54.9029737534218
"69","pq","plus_water_nutrients","nonfixer",0.00561594951007424,-29.2523486366391,-0.318769293023387,6.92359683100316,3.34722940156696,3.30797659153531,6.03789216777331,1.50978253093579,54.4255929785568
"70","pq","plus_water","nonfixer",0.00654250493568344,-29.4591645716739,2.33188716105277,4.4080784584199,2.01554126044521,2.23352254121564,7.07352101546849,1.59624101321609,71.612774933406
"71","pq","plus_water","nonfixer",0.00575882737464413,-29.3934046443746,2.50049125816222,4.70913264251442,2.17180820362523,2.31492674352543,6.8929787978044,1.58599294902275,70.2825720754751
"72","pq","plus_water","nonfixer",0.00469348874745419,-29.3040099823912,2.72969324923998,5.13433516910905,2.39359451397452,2.43036706210095,6.65491534068453,1.572167066876,68.5138183490034
